index,Unnamed: 0,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 
0,Expenses ,,,,,,,,,,
1,Governmental Activities ,,,,,,,,,,
2,General Government ,"$ 1,262,837 ","$ 1,380,132 ","$ 1,229,891 ","$ 1,385,643 ","$ 1,735,174 ","$ 1,658,846 ","$ 1,606,626 ","$ 1,326,657 ","$ 1,222,954 ","$ 1,467,147 "
3,Education ,"13,892,451 ","13,266,545 ","12,655,824 ","12,024,645 ","11,408,408 ","10,788,262 ","10,770,532 ","10,100,155 ","10,002,351 ","10,731,693 "
4,Health and Welfare ,"18,015,041 ","18,082,536 ","17,238,499 ","16,795,986 ","16,589,708 ","16,107,840 ","16,033,221 ","15,657,704 ","14,745,268 ","14,210,928 "
5,Transportation (1) ,"2,668,539 ","2,400,875 ","1,964,380 ","1,917,223 ","1,904,464 ","1,845,850 ","1,656,662 ","1,519,707 ","1,517,213 ","1,752,933 "
6,Public Safety ,"2,605,402 ","2,525,521 ","2,628,645 ","2,145,769 ","1,994,413 ","2,002,615 ","2,012,501 ","1,912,814 ","1,974,964 ","1,834,315 "
7,Economic Development and Assistance ,"465,465 ","524,516 ","645,604 ","509,074 ","590,676 ","510,338 ","515,874 ","783,308 ","843,912 ","808,742 "
8,Culture and Recreation ,"309,863 ","308,917 ","279,375 ","279,772 ","236,922 ","247,170 ","240,018 ","233,043 ","233,608 ","287,860 "
9,Conservation ,"54,758 ","72,135 ","60,603 ","59,409 ","54,280 ","37,002 ","51,038 ","50,334 ","59,159 ","62,059 "
11,Interest and Other Charges on Long- Term Debt (1) ,"381,895 ","379,211 ","394,388 ","424,595 ","678,888 ","592,668 ","616,328 ","638,775 ","462,602 ","446,520 "
12,Total Governmental Activities ,"39,656,251 ","38,940,388 ","37,097,209 ","35,542,116 ","35,192,933 ","33,790,591 ","33,502,800 ","32,222,497 ","31,062,03 ","31,602,197 "
13,Business-type Activities ,,,,,,,,,,
14,Higher Education Fund (2) ,"9,739,025 ","9,300,291 ","9,063,716 ","8,576,540 ","8,323,884 ","7,984,962 ","7,931,918 ","7,916,281 ","7,622,542 ","7,067,724 "
15,State Health Benefit Plan ,"2,613,192 ","2,882,954 ","2,296,062 ","2,153,073 ","2,025,638 ","2,032,910 ","2,193,829 ","2,362,677 ","2,224,280 ","2,298,354 "
16,Unemployment Compensation Fund ,"319,367 ","325,523 ","328,266 ","379,714 ","458,112 ","1,152,763 ","1,858,989 ","2,240,295 ","2,954,208 ","4,011,802 "
17,Nonmajor Enterprise Funds (1) (2) ,"205,638 ","207,054 ","194,402 ","11,587 ","158,809 ","229,630 ","191,949 ","35,735 ","26,613 ","26,174 "
18,Total Business-type Activities ,"12,877,222 ","12,715,822 ","11,882,446 ","11,120,914 ","10,966,443 ","11,400,265 ","12,176,685 ","12,554,988 ","12,827,643 ","13,404,054 "
