Table
,(as restated) ,(as restated) ,(as restated) ,(as restated) ,(as restated) ,(as restated) 
Governmental Activities: ,,,,,,
Expenses ,,,,,,
"General Government, ","$ 548,757 ","$ 426,506 ","$ 413,832 ","$ 440,769 ","$ 848,508 ","$ 548,518 "
Public Safety and Correction ,"320,423 ","296,034 ","335,493 ","352,409 ","364,998 ","387,694 "
Health and Human Services ,"2,092,319 ","2,577,700 ","2,396,437 ","2,545,283 ","2,595,727 ","2,751,283 "
Education ,"1,830,608 ","1,777,026 ","1,712,567 ","1,707,233 ","1,756,231 ","1,845,144 "
Economic Development' ,"799,054 ","829,130 ","820,530 ","806,801 ","810,023 ","761,384 "
Natural Resources ,"241,508 ","241,203 ","264,080 ","244,032 ","236,614 ","269,706 "
Interest Expense ,"45,782 ","50,773 ","50,372 ","49,96 ","51,600 ","46,860 "
Total Expenses ,"5,878,451 ","6,198,372 ","5,993.,311 ","6,146,488 ","6,663,701 ","6,610,589 "
Program Revenues ,,,,,,
Charges for Services: ,,,,,,
General Government 10 ,"79,833 ","109,387 ","97,411 ","104,973 ","90,314 ","227,915 "
Economic Development ,"239,107 ","248,199 ","266,320 ","252,221 ","271,894 ","287,525 "
Natural Resources ,"127,037 ","133,317 ","159,633 ","151,126 ","175,271 ","256,344 "
Other Activities ,"76,575 ","163,505 ","118,255 ","127,082 ","161,452 ","181,054 "
Operating Grants and Contributions ,"2,935,393 ","3,160,919 ","2,664,743 ","2,828,808 ","2,941,720 ","2,851,144 "
Capital Grants and Contributions ,"4,660 ","6,058 ","2,568 ","10,492 ","5,317 ","2,832 "
Total Program Revenues ,"3,462,605 ","3,821,385 ","3,308,930 ","3,474,702 ","3,645,968 ","3,806,814 "
Total Governmental Activities Net Program Expense ,"(2,415,846) ","(2,376,987) ","(2,684,381) ","(2,671,786) ","(3,017,733) ","(2,803,775) "
General Revenues and Other Changes in Net Position ,,,,,,
Taxes: ,,,,,,
Sales Tax ,"1,127,013 ","1,165,095 ","1,213,623 ","1,315,002 ","1,400,547 ","1,444,781 "
Individual and Corporate Taxes ,"1,242,032 ","1,296,558 ","1,390,226 ","1,533,850 ","1,739,957 ","1,686,455 "
Fuel Tax ,"221,142 ","231,732 ","216,249 ","237,647 ","262,479 ","243,826 "
Other Taxes ,"186,130 ","227,075 ","240,757 ","220,507 ","213,434 ","220,442 "
Tobacco Settlement ,"26,120 ","24,576 ","21,103 ","24,912 ","27,450 ","24,183 "
Unrestricted Investment Earnings ,"16,800 ","18,516 ","17,365 ","19,142 ","14,374 ","10,452 "
Transfers ,"(206,246) ","(184,569) ","(178,453) ","(195,507) ","(201,688) ","(213,696) "
Total General Revenues and Other Changes in Net Position ,"2,612,991 ","2,778,983 ","2,920,870 ","3,155,553 ","3,456,553 ","3,416,443 "
Total Governmental Activities Change in Net Position ,S 197.145 ,"S 401,996 ","$ 236,489 ","$ 483,767 ",S 438.820 ,"$ 612,668 "
Business-Type Activities: ,,,,,,
Expenses ,,,,,,
College and University ,"$ 898,012 ","$ 923,760 ","$ 969,419 ","$ 989,412 ","$ 1,054,726 ","$ 1,015,707 "
Unemployment Compensation ,"666,808 ","482,087 ","358,283 ","251,016 ","142,524 ","110,597 "
Loan ,"9,624 ","14,571 ","7,112 ","6,480 ","7,565 ","9,604 "
State Lottery ,"110,204 ","112,003 ","134,055 ","150,599 ","163,295 ","165,445 "
State Liquor ,"118,022 ","117,039 ","123,656 ","134,117 ","141,467 ","143,469 "
Correctional Industries ,"6,553 ","6,727 ","8,030 ","7,560 ","8,755 ","8,155 "
Total Expenses ,"1,809,223 ","1,656,187 ","1,600,555 ","1,539,184 ","1,518,332 ","1,452,977 "
Revenues ,,,,,,
Charges for Services: ,,,,,,
College and University ,"368,504 ","405,450 ","436,208 ","445,649 ","459,380 ","489,740 "
Unemployment Compensation ,"255,278 ","337,479 ","351,781 ","314,630 ","258,072 ","203,794 "
State Lottery ,"147,931 ","147,849 ","176,547 ","198,169 ","209,642 ","210,940 "
"Other Activities 11,13 ","156,407 ","160,749 ","175,435 ","180,645 ","185,082 ","196,043 "
Operating Grants and Contributions ,"637,456 ","606,597 ","485,777 ","383,575 ","305,150 ","282,646 "
Capital Grants and Contributions ,"44,094 ","27,861 ","24,944 ","38,364 ","17,594 ","16,776 "
Total Revenues ,"1,609,670 ","1,685,985 ","1,650,692 ","1,561,032 ","1,434,920 ","1,399,939 "
Total Business-Type Activities Net Program Revenue (Expense) ,"(199,553) ","29,798 ","50,137 ","21,848 ","(83,412) ","(53,038) "
General Revenues and Other Changes in Net Position ,,,,,,
Special Item ,,,,"(80,990) ",,
Transfers ,"206,246 ","184,569 ","178,453 ","195,507 ","201,688 ","213,696 "
Total General Revenues and Other Changes in Net Position ,"206,246 ","184,569 ","178,453 ","114,517 ","201,688 ","213,696 "
Total Business-Type Activities Change in Net Position ,$ 6.693 ,"S 214,367 ",S 228.590 ,$ 136.365 ,"S 118,276 ",S 160.658 


