Table
2016 (as restated) ,2017 (as restated) ,2018 (as restated) ,2019 
"$ 505,318 ","$ 559,044 ","$ 542,391 ","$ 644,708 "
"402,437 ","410,975 ","439,116 ","466,263 "
"2,697,385 ","2,668,755 ","3,079,063 ","3,048,267 "
"1,956,032 ","2,090,661 ","2,229,172 ","2,325,261 "
"866,345 ","903,462 ","1,068,663 ","1,047,957 "
"287,853 ","305,400 ","303,441 ","314,839 "
"45,271 ","15,879 ","52,271 ","87,846 "
"6,760,64 ","6,954,176 ","7,714,117 ","7,935,141 "
"178,132 ","252,28 ","103,489 ","149,788 "
"333,616 ","343,285 ","384,872 ","348,716 "
"217,958 ","225,920 ","232,380 ","244,634 "
"197,393 ","192,525 ","173,492 ","124,372 "
"2,676,844 ","2,869,284 ","3,180,624 ","3,250,723 "
"11,021 ","12,425 ","4,321 ","3,144 "
"3,614,964 ","3,895,720 ","4,079,178 ","4,121,377 "
"(3,145,677) ","(3,058,456) ","(3,634,939) ","(3,813,764) "
"1,580,542 ","1,636,125 ","1,805,363 ","1,899,088 "
"1,518,740 ","1,848,281 ","2,091,958 ","1,958,640 "
"357,858 ","331,399 ","350,134 ","341,559 "
"229,430 ","231,294 ","246,585 ","249,696 "
"25,297 ","22,964 ","23,639 ","21,014 "
"18,735 ","14,869 ","37,352 ","42,239 "
"(233,721) ","(247,300) ","(255,340) ","(280,004) "
"3,496,881 ","3,837,632 ","4,299,691 ","4,232,232 "
"S$ 351,204 ","$ 779,176 ","S 664,752 ",S 418.468 
"$ 1,063,222 ","$ 1,185,061 ","$ 1,155,209 ","$ 1,169,944 "
"108,187 ","108,022 ","86,600 ","89,446 "
"7,537 ","8,119 ","6,448 ","10,122 "
"185,115 ","192,314 ","211,916 ","228,352 "
"153,901 ","163,270 ","172,786 ","184,756 "
"8,960 ","9,112 ","9,429 ","12,145 "
"1,526,922 ","1,665,898 ","1,642,388 ","1,694,765 "
"491,169 ","489,375 ","506,484 ","515,194 "
"189,219 ","189,816 ","163,839 ","150,267 "
"236,819 ","240,686 ","265,811 ","288,617 "
"218,024 ","227,837 ","231,065 ","257,696 "
"291,830 ","293,977 ","301,757 ","305,727 "
"17,200 ","23,533 ","43,551 ","29,199 "
"1,444,261 ","1,465,224 ","1,512,507 ","1,546,700 "
"(82,661) ","(200,674) ","(129,881) ","(148,065) "
"233,723 ","247,300 ","255,340 ","280,004 "
"233,723 ","247,300 ",255.340 ,"280,004 "
"$ 151,062 ",S 46.626 ,"S 125,459 ","S 131,939 "
"S 502,266 ",S 825.802 ,S 790.211 ,"S 550,407 "


